                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.65103,                0.40734,                0.97823,                0.96365,                0.94431,                0.97054,                0.81301,                0.66353,                0.31048,                0.97923,               0.005545,               0.005545,               0.005545
                     48,                0.64541,                0.40009,                0.97807,                0.96285,                0.94398,                0.97023,                  0.813,                0.66426,                0.30975,                0.97989,               0.005446,               0.005446,               0.005446
                     49,                0.64504,                0.39928,                0.97375,                0.96231,                0.94386,                0.97025,                0.81304,                0.66394,                0.30963,                 0.9806,               0.005347,               0.005347,               0.005347
                     50,                0.64073,                0.39411,                0.97511,                0.96097,                0.94427,                0.96957,                0.81318,                0.66415,                0.31103,                0.98127,               0.005248,               0.005248,               0.005248
                     51,                0.63587,                 0.3898,                0.97386,                0.96165,                0.94335,                0.96971,                0.81339,                0.66444,                0.30867,                0.98151,               0.005149,               0.005149,               0.005149
                     52,                0.63378,                0.39663,                0.97521,                0.96137,                0.94509,                 0.9698,                0.81317,                0.66464,                0.30775,                0.98295,                0.00505,                0.00505,                0.00505
                     53,                0.63055,                0.38761,                 0.9702,                0.96099,                0.94632,                0.97005,                0.81341,                0.66509,                0.30937,                0.98286,               0.004951,               0.004951,               0.004951
                     54,                0.62486,                0.38098,                  0.962,                0.95872,                0.94704,                0.97032,                0.81349,                0.66466,                0.30906,                0.98242,               0.004852,               0.004852,               0.004852
                     55,                0.62317,                0.38834,                0.97089,                0.95811,                 0.9485,                0.97027,                0.81401,                0.66514,                0.30762,                0.98336,               0.004753,               0.004753,               0.004753
                     56,                0.62314,                0.37958,                 0.9653,                 0.9587,                0.94884,                0.97028,                0.81369,                0.66513,                0.30677,                0.98371,               0.004654,               0.004654,               0.004654
                     57,                0.62743,                0.38426,                0.96679,                0.95854,                0.94956,                 0.9702,                0.81327,                0.66509,                0.30586,                0.98382,               0.004555,               0.004555,               0.004555
                     58,                 0.6146,                0.37893,                0.96235,                0.95863,                0.94848,                0.97031,                0.81358,                0.66497,                0.30601,                 0.9836,               0.004456,               0.004456,               0.004456
                     59,                  0.614,                0.37147,                0.96428,                0.95864,                 0.9494,                0.97034,                0.81381,                0.66508,                0.30588,                0.98402,               0.004357,               0.004357,               0.004357
                     60,                0.61122,                0.37175,                0.96317,                0.95779,                 0.9495,                0.97035,                0.81363,                0.66482,                0.30649,                0.98391,               0.004258,               0.004258,               0.004258
                     61,                0.61116,                0.37043,                0.96401,                0.95791,                0.95001,                0.97041,                0.81333,                0.66482,                0.30656,                0.98432,               0.004159,               0.004159,               0.004159
                     62,                0.60321,                 0.3618,                0.95613,                0.95719,                0.94982,                0.97024,                 0.8141,                0.66447,                0.30613,                 0.9846,                0.00406,                0.00406,                0.00406
                     63,                0.60299,                0.36196,                0.95731,                 0.9573,                0.95027,                0.97072,                0.81397,                0.66455,                 0.3063,                0.98502,               0.003961,               0.003961,               0.003961
                     64,                0.59438,                0.35634,                0.95331,                0.95753,                0.95029,                0.97031,                0.81301,                0.66431,                0.30523,                  0.985,               0.003862,               0.003862,               0.003862
                     65,                0.58807,                0.34347,                0.94999,                0.95809,                0.94987,                 0.9702,                0.81276,                0.66439,                0.30572,                0.98505,               0.003763,               0.003763,               0.003763
                     66,                0.58864,                0.34933,                0.95273,                0.95877,                0.94953,                0.97023,                0.81295,                0.66424,                0.30529,                 0.9851,               0.003664,               0.003664,               0.003664
                     67,                0.59235,                0.35338,                0.95291,                0.95877,                0.94928,                0.97025,                0.81364,                 0.6641,                0.30582,                0.98548,               0.003565,               0.003565,               0.003565
                     68,                0.58312,                0.34214,                0.95207,                0.95811,                 0.9494,                0.97043,                0.81347,                0.66403,                0.30636,                0.98545,               0.003466,               0.003466,               0.003466
                     69,                0.58482,                0.34652,                0.94852,                0.95816,                0.95042,                0.97079,                0.81368,                0.66403,                0.30632,                0.98545,               0.003367,               0.003367,               0.003367
                     70,                0.57746,                 0.3364,                0.94454,                0.95777,                0.95026,                0.97066,                0.81355,                0.66418,                0.30601,                0.98566,               0.003268,               0.003268,               0.003268
                     71,                0.57457,                0.33179,                0.94704,                0.95794,                0.94999,                0.97064,                0.81368,                0.66465,                 0.3054,                0.98626,               0.003169,               0.003169,               0.003169
                     72,                0.57414,                0.33448,                 0.9461,                0.95745,                0.94894,                0.97067,                0.81414,                0.66461,                0.30507,                0.98605,                0.00307,                0.00307,                0.00307
                     73,                0.57501,                0.33747,                0.94335,                0.95753,                0.94864,                0.97066,                0.81405,                0.66482,                0.30509,                0.98639,               0.002971,               0.002971,               0.002971
                     74,                0.56657,                0.33019,                0.94445,                 0.9577,                0.94882,                0.97063,                0.81449,                0.66501,                0.30456,                  0.987,               0.002872,               0.002872,               0.002872
                     75,                0.56845,                0.32899,                0.94393,                0.95788,                0.94888,                0.97065,                0.81434,                0.66507,                0.30439,                0.98736,               0.002773,               0.002773,               0.002773
                     76,                0.55465,                0.32323,                0.94017,                0.95881,                0.94756,                0.97061,                0.81447,                0.66525,                0.30383,                0.98758,               0.002674,               0.002674,               0.002674
                     77,                0.55793,                0.32018,                0.93993,                0.95955,                0.94718,                0.97079,                0.81487,                0.66514,                0.30406,                0.98759,               0.002575,               0.002575,               0.002575
                     78,                0.55233,                0.31348,                0.93893,                0.95927,                0.94741,                0.97084,                0.81469,                0.66558,                0.30263,                0.98786,               0.002476,               0.002476,               0.002476
                     79,                0.55036,                0.31761,                0.93199,                0.96005,                0.94732,                0.97135,                0.81469,                0.66586,                0.30214,                0.98804,               0.002377,               0.002377,               0.002377
                     80,                0.54596,                0.31242,                0.93235,                0.95886,                0.94843,                0.97142,                0.81467,                0.66581,                0.30129,                0.98794,               0.002278,               0.002278,               0.002278
                     81,                0.54382,                0.30759,                0.93157,                0.95946,                0.94808,                0.97142,                 0.8144,                0.66591,                0.30076,                0.98815,               0.002179,               0.002179,               0.002179
                     82,                0.54257,                0.30793,                0.93284,                0.95918,                0.94834,                0.97136,                0.81502,                0.66573,                0.29991,                0.98829,                0.00208,                0.00208,                0.00208
                     83,                0.53866,                0.29982,                0.92879,                0.95946,                0.94819,                 0.9714,                0.81566,                0.66567,                0.29942,                0.98839,               0.001981,               0.001981,               0.001981
                     84,                0.53566,                0.30232,                0.92706,                0.95973,                0.94806,                0.97136,                0.81546,                0.66563,                0.29919,                0.98865,               0.001882,               0.001882,               0.001882
                     85,                 0.5363,                0.29942,                0.92753,                0.95987,                 0.9479,                0.97131,                0.81503,                0.66557,                0.29915,                0.98855,               0.001783,               0.001783,               0.001783
                     86,                0.52413,                 0.2887,                0.92116,                0.96011,                0.94806,                0.97137,                0.81529,                0.66527,                0.29857,                0.98846,               0.001684,               0.001684,               0.001684
                     87,                0.52539,                0.29186,                0.92244,                0.96044,                0.94826,                0.97135,                0.81615,                0.66524,                0.29784,                0.98868,               0.001585,               0.001585,               0.001585
                     88,                0.51899,                0.28951,                0.91801,                0.96103,                0.94817,                0.97142,                 0.8164,                 0.6654,                0.29751,                0.98875,               0.001486,               0.001486,               0.001486
                     89,                0.51528,                 0.2843,                0.91404,                0.96154,                0.94776,                0.97153,                0.81666,                0.66545,                 0.2968,                 0.9887,               0.001387,               0.001387,               0.001387
                     90,                0.51306,                0.28269,                0.91804,                0.96208,                0.94761,                0.97154,                0.81653,                0.66558,                0.29666,                0.98883,               0.001288,               0.001288,               0.001288
                     91,                  0.517,                0.23722,                0.90424,                0.96251,                0.94748,                0.97152,                0.81632,                0.66576,                0.29664,                0.98876,               0.001189,               0.001189,               0.001189
                     92,                0.50572,                0.23328,                 0.9016,                0.96344,                0.94711,                0.97151,                0.81653,                0.66585,                 0.2966,                0.98894,                0.00109,                0.00109,                0.00109
                     93,                0.50463,                0.22839,                0.90272,                0.96384,                0.94743,                0.97151,                0.81717,                0.66567,                0.29696,                0.98901,               0.000991,               0.000991,               0.000991
                     94,                0.49587,                0.22447,                0.90256,                0.96455,                0.94686,                0.97145,                0.81697,                0.66558,                0.29736,                0.98907,               0.000892,               0.000892,               0.000892
                     95,                0.49271,                0.22279,                0.89908,                0.96415,                0.94739,                0.97148,                0.81692,                0.66558,                0.29649,                0.98903,               0.000793,               0.000793,               0.000793
                     96,                0.48576,                0.22032,                0.89569,                0.96473,                0.94719,                0.97153,                0.81743,                0.66532,                0.29578,                0.98893,               0.000694,               0.000694,               0.000694
                     97,                0.48405,                0.21698,                0.89478,                0.96491,                0.94796,                0.97152,                0.81792,                0.66517,                0.29554,                0.98899,               0.000595,               0.000595,               0.000595
                     98,                 0.4756,                0.21351,                0.89426,                0.96532,                0.94829,                0.97183,                0.81782,                0.66533,                0.29497,                0.98907,               0.000496,               0.000496,               0.000496
                     99,                0.47751,                0.21475,                0.88923,                0.96521,                0.94848,                0.97178,                0.81785,                0.66565,                0.29465,                0.98928,               0.000397,               0.000397,               0.000397
                    100,                0.47206,                0.20923,                0.88795,                0.96487,                 0.9488,                0.97176,                0.81739,                0.66552,                0.29414,                0.98941,               0.000298,               0.000298,               0.000298
